1;7704;3;3251549
2;12897;2;437702
3;14793;1;1048980
4;7528;6;2098634
5;8019;7;199158
6;13201;5;2206207
7;14743;7;1066248
8;7689;1;115920
9;9454;2;867425
10;8686;6;2320272
11;3007;9;2420692
12;11397;2;2882026
13;8543;6;577090
14;10007;5;1216161
15;5010;3;2254289
16;11403;4;496073
17;12923;6;3432637
18;5488;10;191103
19;7469;10;2433909
20;12766;4;3075456
21;12173;2;747207
22;4550;7;3500628
23;7040;1;3250495
24;8672;7;646539
25;9510;7;2722504
26;14835;4;328956
27;6786;5;1037936
28;1940;1;1011503
29;6489;4;2611460
30;7573;3;1919165
31;13347;6;3622400
32;6550;2;2672959
33;11464;2;1645933
34;11578;3;2908551
35;11462;10;2165077
36;10443;5;3613726
37;11497;3;3548744
38;1820;4;1920959
39;13449;6;824603
40;2969;7;2694094
41;13372;9;314748
42;10438;1;669202
43;6304;10;1369981
44;3366;4;3620318
45;13969;8;3571793
46;9341;10;683319
47;13029;2;3044631
48;4870;3;2406799
49;4012;7;2349539
50;5825;2;2947354
51;14070;2;494395
52;13320;6;2815454
53;9957;2;1348381
54;10704;8;2496824
55;1235;1;867125
56;7254;6;3406506
57;2918;8;842563
58;10376;7;402579
59;8140;9;3032102
60;11575;5;3526281
61;2682;5;1168312
62;1863;10;54658
63;13516;8;1160327
64;6822;5;2603912
65;2597;5;2353633
66;5431;5;3403608
67;5282;8;1236345
68;13824;10;1324867
69;2902;4;2706939
70;5652;6;2296349
71;9496;7;603257
72;11631;2;1512043
73;8529;4;3022418
74;1663;9;3395282
75;9641;3;2761359
76;2454;5;78001
77;6096;8;2131038
78;1309;9;3285717
79;7975;10;730760
80;4135;2;2039595
81;5161;2;940265
82;13720;3;2287245
83;4064;6;2317688
84;7099;7;3319932
85;10854;2;1425624
86;11221;4;807368
87;2287;10;1324923
88;12766;1;2804866
89;4078;10;2041321
90;4148;7;2414012
91;7197;1;2771321
92;12838;2;3146630
93;5771;8;2544860
94;6681;6;954050
95;14667;5;1526246
96;12557;10;260217
97;5650;1;3164654
98;6158;2;2421850
99;4326;4;1266897
100;3408;2;168250
101;6860;9;3102628
102;8496;10;1720166
103;10525;3;3355740
104;10784;2;53778
105;1795;3;2344272
106;11281;1;2638179
107;13494;9;3449098
108;10898;2;1608802
109;6387;2;3391418
110;4238;3;789424
111;4795;7;1275691
112;3273;1;1212525
113;8286;8;3327663
114;9703;8;992711
115;11097;10;2586476
116;11308;5;2537359
117;7981;1;1392821
118;9696;4;1496100
119;9975;6;1178903
120;1325;6;1546655
121;12574;2;2079269
122;5924;2;2087560
123;4183;10;2938949
124;2766;10;293170
125;7657;2;3181022
126;14883;3;1113059
127;14384;1;2622865
128;9258;5;2068628
129;11448;4;1869742
130;11511;8;2501640
131;8396;10;569353
132;8743;8;3365098
133;5366;6;2019124
134;5603;8;562619
