0;4;3228;6425;0
190;9;1360;13307;20
731;3;4000;11012;29
1146;5;9086;9002;21
1391;6;3867;14441;35
Time's Up
Time's Up
Time's Up
1727;8;5693;3061;28
1847;10;964;14600;48
2405;6;3127;7633;36
2613;2;9565;2876;45
2748;7;552;10015;19
2992;5;9037;7100;16
3182;2;3607;5157;24
3399;4;5740;5780;10
3566;5;8125;14635;14
3945;9;1382;8451;38
4271;9;1192;14928;0
Time's Up
4874;3;5942;2442;28
5001;8;5173;13115;39
5350;2;881;12864;44
5909;8;2366;11333;44
6217;2;5729;9826;44
6659;10;9139;4160;48
6856;2;555;4789;48
7058;4;2301;9839;10
7336;8;6535;7120;19
7520;6;3529;11276;18
7778;7;1883;8719;18
8009;1;4195;10976;32
8336;5;7107;4758;13
8482;6;849;12609;35
8787;10;4658;2292;36
8892;1;5710;14241;23
9346;9;6493;5839;47
9609;5;2216;8126;38
9822;2;7444;8440;24
10208;10;9250;9494;48
10588;3;7073;10117;40
10971;5;4386;14695;21
11329;7;161;9751;16
11551;7;1062;3995;0
11690;3;991;13490;48
12187;2;7585;2862;15
12302;2;6038;12289;0
12818;5;9715;14409;24
13167;1;4504;13150;13
13560;2;5073;2742;17
13687;1;6045;4784;17
13849;8;725;8995;25
14065;9;1158;14021;6
14630;7;6207;12342;25
14942;10;6658;1523;31
15045;2;7937;1452;48
15128;5;1794;9826;24
15371;4;419;13806;14
15755;3;6640;3482;20
15900;4;7713;14724;20
16288;4;6949;14532;0
16681;2;5311;9724;10
17112;9;4559;3670;42
17300;10;3096;12743;46
17792;6;8848;9377;36
18027;5;8876;10113;35
18298;6;9825;14397;35
18623;8;1137;8505;18
18821;8;5894;5011;0
18938;8;2118;3387;0
19042;1;867;6267;25
19247;8;4676;10457;25
19509;5;4861;13703;18
19841;1;4447;13803;13
20259;3;1056;13830;23
20776;1;7052;8878;23
21043;5;7263;8804;13
21269;3;6539;13998;21
21798;9;4032;11375;29
22283;1;1643;14075;47
22709;3;1265;5427;23
22926;1;6010;14109;23
23343;5;2357;9258;13
23573;4;5405;4089;14
23701;9;8010;3194;20
23844;4;5566;13736;20
24228;1;9112;4205;22
24372;10;3688;14749;23
24945;9;8041;8257;46
25305;2;4711;9509;42
25728;9;507;6130;42
25964;9;3957;7279;0
26272;6;4767;12798;28
26583;3;1727;2882;38
26726;10;3903;4165;40
26923;8;2269;14668;48
27271;9;7771;6620;6
27573;1;7183;11268;47
27908;5;2322;2883;13
28011;6;1418;2336;35
28079;7;4498;14726;18
28433;2;9422;10120;19
28882;8;4283;9342;44
29100;8;5011;5439;0
29275;10;8085;5588;48
29506;7;3901;10090;31
29752;5;3846;1292;16
29814;10;6084;12502;31
30307;9;7757;14264;46
30903;1;8492;12664;47
31309;6;5034;2818;44
31397;9;7990;11222;28
31858;3;2829;5923;29
32109;8;5120;8172;39
32300;8;5568;10599;0
32547;8;1006;1831;0
32615;1;3043;7669;25
32858;10;516;7136;23
33136;1;9133;12575;23
33521;8;183;13448;25
33852;5;6451;3935;18
33975;10;7055;4487;31
34167;7;4144;6448;31
34362;3;5950;1252;48
34436;9;7234;13869;29
34998;6;5817;10067;28
35231;8;6021;9201;18
35470;1;9992;4918;25
35624;5;3335;8850;13
35846;7;8243;8134;16
36049;6;6534;2001;18
36132;4;8066;8825;40
36387;1;9929;2047;22
36469;10;7476;8969;23
36821;5;4626;11561;31
37108;8;2219;2690;18
37215;2;104;10784;44
37664;1;9691;12516;17
38066;6;8569;9711;44
38309;10;62;1863;36
38407;5;6994;9963;31
38670;10;428;13671;31
39159;10;4175;3817;0
39319;1;3755;13999;23
39736;2;2104;11741;17
40221;3;6946;1128;15
40262;3;8498;9499;0
40650;7;4325;6444;48
40822;9;7940;11387;25
41307;1;438;1310;47
41377;7;1995;3687;32
41479;6;9802;10578;18
41723;7;8393;6354;18
41899;10;8017;12478;31
42376;5;631;5947;31
42515;5;4800;1605;0
42588;6;3746;6006;35
42761;2;5488;13421;45
43346;10;694;6802;48
43589;10;4134;9142;0
43964;8;4287;2292;48
44026;7;4567;8389;8
44236;2;3745;3468;19
44392;1;8583;9433;17
44662;1;3430;13293;0
45074;7;9737;5126;32
45239;3;2747;9304;48
45620;7;5306;4260;48
45733;5;8944;10489;16
45995;8;5341;7548;18
46177;9;8910;11626;6
46625;9;6629;3273;0
46797;10;5055;9752;46
47186;3;5647;5783;40
47413;4;4157;13139;20
47779;3;2108;11821;20
48202;3;9951;7713;0
48499;5;8201;1338;21
48569;9;8028;1821;38
48682;2;1590;9802;42
49085;4;9881;7610;10
49326;6;4207;5089;40
49470;5;1523;5471;35
49598;5;1741;6217;0
49764;3;9398;14483;21
50302;4;9284;9404;20
50592;10;3417;3884;42
50779;8;3256;1956;48
50844;4;1822;10459;19
51134;5;3426;12371;14
51435;1;5962;10281;13
51776;9;2664;10794;47
52230;5;9701;12009;38
52548;9;9902;12045;38
53012;9;9137;14364;0
53607;2;2194;4722;42
53841;6;4838;4462;45
53954;8;1554;7108;18
54139;4;3533;3720;19
54256;8;6554;5000;19
54398;1;4506;3486;25
54511;5;76;2454;13
54569;5;7355;8202;0
54798;9;5278;10793;38
55239;7;3543;14336;25
55565;7;4040;1096;0
55600;4;5733;9578;10
55895;10;5885;6329;42
56145;1;9113;7736;23
56411;6;1834;8232;44
56605;7;1660;9509;18
56830;8;4654;2138;8
56919;3;6763;7994;39
57244;8;4853;5100;39
57407;2;8640;11078;44
57868;1;6526;5545;17
58052;8;4007;6235;25
58215;6;1214;7892;18
58428;2;2659;1652;45
58495;2;9971;3160;0
58622;2;8886;1664;0
58706;1;9279;13449;17
59114;3;5529;12805;23
59572;3;4820;7744;0
59887;6;1126;9622;38
60110;8;7747;12279;18
60404;7;7562;14917;8
60760;5;7695;4612;16
60882;4;9931;9950;14
61186;10;7095;14496;42
61752;8;6620;9199;48
61966;8;1850;13273;0
62300;1;8094;1023;25
62347;2;1519;8848;17
62725;5;9558;12713;24
63042;3;9229;1107;21
63097;2;4977;3575;15
63255;3;5005;1765;15
63367;7;1927;5858;48
63549;3;9459;10850;48
63952;2;2760;7896;15
64283;3;7863;2195;15
64391;9;7004;10858;29
64829;4;4532;12990;20
65211;6;4662;4867;40
65333;7;8475;14936;18
65721;3;8855;1704;48
65803;5;3142;6348;21
65972;3;9445;3572;21
66129;9;6310;13961;29
66666;9;5505;4192;0
66853;7;4085;4939;25
66985;2;267;7892;19
67346;6;2716;10398;45
67596;9;7265;7038;28
67896;3;9707;10178;29
68283;1;2777;12275;23
68681;9;5582;14089;47
69229;8;9962;2360;6
